42 time: 2020-10-17 20:16, wait: 8
43 time: 2020-10-17 20:18, wait: 8
41 time: 2020-10-17 20:18, wait: 7
35 time: 2020-10-17 20:19, wait: 8
41 time: 2020-10-17 20:19, wait: 5
40 time: 2020-10-17 20:20, wait: 4
36 time: 2020-10-17 20:21, wait: 4
35 time: 2020-10-17 20:21, wait: 4
34 time: 2020-10-17 20:24, wait: 4
37 time: 2020-10-17 20:25, wait: 3
43 time: 2020-10-17 20:26, wait: 1
32 time: 2020-10-17 20:27, wait: 3
29 time: 2020-10-17 20:27, wait: 3
38 time: 2020-10-17 20:28, wait: 2
32 time: 2020-10-17 20:28, wait: 3
24 time: 2020-10-17 20:30, wait: 3
22 time: 2020-10-17 20:31, wait: 3
21 time: 2020-10-17 20:32, wait: 3
14 time: 2020-10-17 20:33, wait: 5
18 time: 2020-10-17 20:44, wait: 4
16 time: 2020-10-17 20:49, wait: 4
24 time: 2020-10-17 21:37, wait: 3
33 time: 2020-10-17 21:38, wait: 1
32 time: 2020-10-17 21:39, wait: 2
33 time: 2020-10-17 21:39, wait: 2
29 time: 2020-10-17 21:40, wait: 3
32 time: 2020-10-17 21:40, wait: 3
29 time: 2020-10-17 21:41, wait: 4
31 time: 2020-10-17 21:41, wait: 3
28 time: 2020-10-17 21:42, wait: 4
26 time: 2020-10-17 21:42, wait: 4
28 time: 2020-10-17 21:43, wait: 3
25 time: 2020-10-17 21:44, wait: 3
26 time: 2020-10-17 21:44, wait: 3
27 time: 2020-10-17 21:45, wait: 3
23 time: 2020-10-17 21:45, wait: 4
26 time: 2020-10-17 21:46, wait: 4
26 time: 2020-10-17 21:46, wait: 4
32 time: 2020-10-17 21:47, wait: 4
33 time: 2020-10-17 21:48, wait: 4
36 time: 2020-10-17 21:48, wait: 4
29 time: 2020-10-17 21:50, wait: 6
39 time: 2020-10-17 21:51, wait: 5
36 time: 2020-10-17 21:52, wait: 6
39 time: 2020-10-17 21:52, wait: 6
37 time: 2020-10-17 21:53, wait: 6
41 time: 2020-10-17 21:53, wait: 6
36 time: 2020-10-17 21:54, wait: 7
40 time: 2020-10-17 21:56, wait: 6
39 time: 2020-10-17 21:57, wait: 6
38 time: 2020-10-17 21:57, wait: 6
40 time: 2020-10-17 22:02, wait: 5
35 time: 2020-10-17 22:03, wait: 6
37 time: 2020-10-17 22:03, wait: 5
32 time: 2020-10-17 22:04, wait: 5
28 time: 2020-10-17 22:05, wait: 5
30 time: 2020-10-17 22:06, wait: 5
30 time: 2020-10-17 22:06, wait: 5
24 time: 2020-10-17 22:07, wait: 6
28 time: 2020-10-17 22:08, wait: 5
32 time: 2020-10-17 22:08, wait: 4
35 time: 2020-10-17 22:09, wait: 4
31 time: 2020-10-17 22:09, wait: 5
34 time: 2020-10-17 22:10, wait: 5
37 time: 2020-10-17 22:10, wait: 5
33 time: 2020-10-17 22:12, wait: 6
34 time: 2020-10-17 22:12, wait: 6
39 time: 2020-10-17 22:13, wait: 5
35 time: 2020-10-17 22:19, wait: 5
34 time: 2020-10-17 22:20, wait: 5
32 time: 2020-10-17 22:21, wait: 5
35 time: 2020-10-17 22:23, wait: 4
30 time: 2020-10-17 22:24, wait: 5
28 time: 2020-10-17 22:25, wait: 5
25 time: 2020-10-17 22:26, wait: 5
27 time: 2020-10-17 22:26, wait: 4
30 time: 2020-10-17 22:27, wait: 4
32 time: 2020-10-17 22:27, wait: 3
28 time: 2020-10-17 22:28, wait: 4
25 time: 2020-10-17 22:28, wait: 4
34 time: 2020-10-17 22:29, wait: 3
34 time: 2020-10-17 22:30, wait: 3
29 time: 2020-10-17 22:30, wait: 3
28 time: 2020-10-17 22:31, wait: 3
25 time: 2020-10-17 22:31, wait: 3
33 time: 2020-10-17 22:32, wait: 1
28 time: 2020-10-17 22:32, wait: 2
17 time: 2020-10-17 22:36, wait: 4
18 time: 2020-10-17 22:36, wait: 3
16 time: 2020-10-17 22:37, wait: 4
20 time: 2020-10-17 22:38, wait: 3
26 time: 2020-10-17 22:38, wait: 1
25 time: 2020-10-17 22:39, wait: 1
27 time: 2020-10-17 22:39, wait: 2
29 time: 2020-10-17 22:40, wait: 2
23 time: 2020-10-17 22:41, wait: 3
27 time: 2020-10-17 22:41, wait: 3
24 time: 2020-10-17 22:42, wait: 4
30 time: 2020-10-17 22:42, wait: 2
26 time: 2020-10-17 22:43, wait: 3
28 time: 2020-10-17 22:46, wait: 3
28 time: 2020-10-17 22:47, wait: 3
27 time: 2020-10-17 22:48, wait: 3
27 time: 2020-10-17 22:48, wait: 3
31 time: 2020-10-17 22:49, wait: 2
